Threads,Run1,Run2,Run3,Run4,Run5,Average
2,0.91,0.90,0.87,0.85,0.85,.87600000000000000000
4,2.31,2.32,2.30,2.39,2.30,2.32400000000000000000
8,6.08,5.90,6.06,6.22,5.97,6.04600000000000000000
16,11.13,12.54,11.01,11.19,10.50,11.27400000000000000000
32,21.01,21.35,21.26,21.36,21.56,21.30800000000000000000
