Threads,Run1,Run2,Run3,Run4,Run5,Average
2,0.76,0.78,0.79,0.85,0.75,.78600000000000000000
4,2.23,2.17,2.24,2.28,2.78,2.34000000000000000000
8,5.95,6.00,5.85,5.55,5.67,5.80400000000000000000
16,11.47,11.15,11.30,11.16,11.27,11.27000000000000000000
32,20.75,21.05,20.96,20.88,20.54,20.83600000000000000000
