Threads,Run1,Run2,Run3,Run4,Run5,Average
2,0.26,0.25,0.24,0.24,0.24,.24600000000000000000
4,0.29,0.35,0.33,0.28,0.28,.30600000000000000000
8,0.52,0.92,0.45,0.81,0.69,.67800000000000000000
16,5.31,8.93,6.81,7.70,15.07,8.76400000000000000000
32,26.47,60.49,30.43,38.19,23.79,35.87400000000000000000
