Threads,Run1,Run2,Run3,Run4,Run5,Average
2,0.33,0.31,0.26,0.25,0.26,.28200000000000000000
4,0.34,0.31,0.32,0.29,0.54,.36000000000000000000
8,0.44,0.51,0.61,0.62,0.64,.56400000000000000000
16,1.03,0.91,0.95,0.93,1.06,.97600000000000000000
32,1.67,1.50,1.41,1.70,1.67,1.59000000000000000000
