Threads,Run1,Run2,Run3,Run4,Run5,Average
2,0.06,0.05,0.05,0.05,0.05,.05200000000000000000
4,0.07,0.07,0.07,0.06,0.06,.06600000000000000000
8,0.11,0.13,0.14,0.15,0.13,.13200000000000000000
16,0.22,0.20,0.20,0.20,0.21,.20600000000000000000
32,0.43,0.40,0.40,0.43,0.40,.41200000000000000000
